client_id,program_name,provider,entry_date,exit_date,exited_flag,exit_interview_completed,exit_destination,income_at_exit_range,permanent_housing_flag
C00072,OTHER_COC,Provider_13,2023-05-26,2023-10-17,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",0
C00073,OTHER_COC,Provider_12,2023-07-19,2023-09-14,1,1,Emergency shelter (voucher),"$1,001–$1,500",0
C00074,CEA,Provider_07,2022-11-13,2023-01-25,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",0
C00075,SHI,Provider_04,2022-07-20,2023-12-31,1,1,Staying with family (temporary),Data Not Collected,0
C00076,SHI,Provider_15,2023-09-16,2023-12-31,1,1,"Rental by client, with ongoing housing subsidy",Data Not Collected,0
C00077,OTHER_COC,Provider_08,2023-08-03,2023-11-04,1,1,Staying with family (temporary),"$2,001+",0
C00078,OTHER_COC,Provider_08,2022-07-27,2023-01-02,1,1,Staying with family (temporary),No Income,0
C00079,OTHER_COC,Provider_08,2023-08-28,2023-12-19,1,0,No Exit Interview completed,Data Not Collected,1
C00080,HHCM,Provider_08,2022-06-09,2022-12-13,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",0
C00081,OTHER_COC,Provider_10,2023-04-05,2023-12-31,1,1,"Rental by client, no ongoing housing subsidy",Data Not Collected,0
C00082,SHI,Provider_08,2023-08-31,2023-12-31,1,1,Jail/prison/juvenile detention,Data Not Collected,0
C00083,CEA,Provider_13,2023-08-20,2023-11-04,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",1
C00084,CEA,Provider_13,2023-05-28,2023-08-09,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",1
C00085,SHI,Provider_06,2022-03-27,2023-02-27,1,1,Staying with family (temporary),"$501–$1,000",1
C00086,OTHER_COC,Provider_02,2022-01-08,2022-06-27,1,1,"Rental by client, with ongoing housing subsidy",Data Not Collected,1
C00087,OTHER_COC,Provider_08,2022-01-04,2022-09-05,1,1,Emergency shelter (voucher),"$2,001+",1
C00088,OTHER_COC,Provider_08,2022-10-15,2023-02-28,1,1,Other,No Income,1
C00089,OTHER_COC,Provider_07,2023-03-24,2023-05-11,1,1,Staying with family (temporary),"$2,001+",1
C00090,HHCM,Provider_13,2023-12-10,2023-12-31,1,1,Emergency shelter (voucher),Data Not Collected,0
C00091,OTHER_COC,Provider_01,2022-11-13,2023-01-13,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",0
C00092,HHCM,Provider_03,2023-07-06,2023-12-31,0,1,Staying with family (temporary),Data Not Collected,0
C00093,OTHER_COC,Provider_13,2023-02-19,2023-09-20,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",1
C00094,OTHER_COC,Provider_15,2022-02-08,2022-07-16,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",0
C00095,SHI,Provider_06,2023-06-14,2023-12-31,1,1,Emergency shelter (voucher),Data Not Collected,0
C00096,OTHER_COC,Provider_02,2023-09-09,2023-12-31,1,1,Other,Data Not Collected,0
C00097,OTHER_COC,Provider_06,2023-08-10,2023-11-13,1,1,Other,No Income,1
C00098,OTHER_COC,Provider_06,2023-01-16,2023-02-14,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",1
C00099,HHCM,Provider_07,2023-05-22,2023-12-31,0,1,"Rental by client, with ongoing housing subsidy",Data Not Collected,0
C00100,SHI,Provider_03,2023-02-23,2023-12-31,1,1,No Exit Interview completed,Data Not Collected,1
C00101,OTHER_COC,Provider_03,2023-03-20,2023-07-30,1,0,No Exit Interview completed,$251–$500,0
C00102,OTHER_COC,Provider_08,2023-03-19,2023-12-22,1,1,Staying with family (temporary),"$2,001+",0
C00103,OTHER_COC,Provider_08,2022-01-16,2022-06-10,1,1,Staying with friends (temporary),"$2,001+",1
C00104,OTHER_COC,Provider_08,2023-07-20,2023-12-05,1,1,Staying with friends (temporary),No Income,1
C00105,HHCM,Provider_04,2023-01-27,2023-04-15,1,1,Staying with family (temporary),"$2,001+",1
C00106,OTHER_COC,Provider_03,2023-06-28,2023-09-21,1,1,No Exit Interview completed,No Income,0
C00107,OTHER_COC,Provider_03,2022-07-27,2023-07-27,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",0
C00108,SHI,Provider_15,2023-09-21,2023-12-31,0,1,Emergency shelter (voucher),Data Not Collected,0
C00109,HHCM,Provider_06,2023-03-26,2023-11-21,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",0
C00110,SHI,Provider_08,2023-08-02,2023-12-31,1,1,Staying with friends (temporary),Data Not Collected,0
C00111,OTHER_COC,Provider_07,2023-07-02,2023-11-05,1,1,Emergency shelter (voucher),No Income,0
C00112,HHCM,Provider_13,2023-04-12,2023-07-27,1,1,Emergency shelter (voucher),"$1,001–$1,500",0
C00113,OTHER_COC,Provider_04,2023-10-26,2023-12-31,0,1,"Rental by client, no ongoing housing subsidy",Data Not Collected,0
C00114,HHCM,Provider_06,2022-12-04,2023-08-01,1,1,Staying with family (temporary),"$2,001+",0
C00115,SHI,Provider_13,2023-09-25,2023-12-31,1,1,Emergency shelter (voucher),Data Not Collected,0
C00116,OTHER_COC,Provider_02,2022-03-17,2023-01-25,1,1,"Rental by client, no ongoing housing subsidy",Data Not Collected,0
C00117,SHI,Provider_08,2022-03-02,2023-06-16,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",1
C00118,OTHER_COC,Provider_06,2023-03-16,2023-06-25,1,1,Staying with family (temporary),"$2,001+",1
C00119,CEA,Provider_15,2022-04-01,2022-09-06,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",1
C00120,OTHER_COC,Provider_10,2023-06-25,2023-08-27,1,1,No Exit Interview completed,"$1,001–$1,500",1
C00121,OTHER_COC,Provider_01,2022-11-06,2023-02-19,1,1,Staying with family (temporary),"$1,501–$2,000",0
C00122,SHI,Provider_13,2023-12-03,2023-12-31,1,1,Staying with family (temporary),Data Not Collected,0
C00123,OTHER_COC,Provider_10,2023-04-10,2023-11-12,1,1,Staying with friends (temporary),"$2,001+",0
C00124,OTHER_COC,Provider_08,2023-01-08,2023-06-05,1,1,Emergency shelter (voucher),"$1,001–$1,500",0
C00125,OTHER_COC,Provider_02,2023-03-05,2023-07-11,1,1,Staying with family (temporary),"$2,001+",0
C00126,OTHER_COC,Provider_02,2022-08-19,2022-12-29,1,1,Staying with family (temporary),"$1,501–$2,000",1
C00127,OTHER_COC,Provider_08,2022-09-11,2022-11-25,1,1,"Rental by client, no ongoing housing subsidy",No Income,1
C00128,SHI,Provider_06,2022-04-26,2023-06-12,1,1,Staying with friends (temporary),"$2,001+",1
C00129,CEA,Provider_13,2023-05-23,2023-08-30,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",0
C00130,OTHER_COC,Provider_03,2023-11-24,2023-12-31,1,1,"Rental by client, with ongoing housing subsidy",Data Not Collected,1
C00131,OTHER_COC,Provider_08,2023-09-11,2023-12-11,1,1,No Exit Interview completed,"$1,501–$2,000",1
C00132,OTHER_COC,Provider_03,2022-12-08,2023-03-15,1,1,Staying with family (temporary),"$2,001+",0
C00133,HHCM,Provider_08,2023-02-07,2023-06-24,1,1,Staying with family (temporary),"$2,001+",0
C00134,OTHER_COC,Provider_01,2022-11-28,2023-02-17,1,1,No Exit Interview completed,"$2,001+",1
C00135,OTHER_COC,Provider_06,2022-11-27,2023-04-26,1,0,No Exit Interview completed,"$2,001+",1
C00136,HHCM,Provider_02,2023-01-06,2023-05-05,1,0,No Exit Interview completed,Data Not Collected,1
C00137,OTHER_COC,Provider_08,2023-03-03,2023-08-09,1,1,"Rental by client, with ongoing housing subsidy","$1,001–$1,500",1
C00138,OTHER_COC,Provider_03,2022-12-21,2023-05-10,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",0
C00139,OTHER_COC,Provider_12,2023-06-06,2023-12-31,1,0,No Exit Interview completed,Data Not Collected,0
C00140,SHI,Provider_01,2022-03-13,2023-12-31,1,1,Deceased,Data Not Collected,1
C00141,HHCM,Provider_08,2023-01-08,2023-08-03,1,1,Hotel/motel without voucher,"$2,001+",1
C00142,SHI,Provider_08,2022-04-21,2023-11-02,1,1,Staying with friends (permanent),Data Not Collected,0
C00143,OTHER_COC,Provider_01,2022-11-24,2023-07-02,1,1,No Exit Interview completed,"$2,001+",1
C00144,SHI,Provider_01,2023-12-18,2023-12-31,1,1,"Rental by client, with ongoing housing subsidy",Data Not Collected,0
C00145,OTHER_COC,Provider_03,2022-04-04,2022-09-07,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",0
C00146,OTHER_COC,Provider_08,2023-04-02,2023-11-01,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",1
C00147,OTHER_COC,Provider_15,2022-10-31,2023-08-02,1,1,"Rental by client, no ongoing housing subsidy",No Income,0
C00148,HHCM,Provider_01,2023-09-17,2023-12-31,1,1,"Rental by client, no ongoing housing subsidy",Data Not Collected,0
C00149,OTHER_COC,Provider_10,2023-01-22,2023-06-18,1,1,Staying with family (temporary),Data Not Collected,0
C00150,CEA,Provider_08,2023-11-09,2023-12-31,0,1,Staying with friends (temporary),Data Not Collected,0
C00151,CEA,Provider_08,2023-11-09,2023-12-31,1,1,"Rental by client, no ongoing housing subsidy",Data Not Collected,1
C00152,OTHER_COC,Provider_07,2022-10-16,2022-12-21,1,1,Staying with friends (temporary),No Income,0
C00153,OTHER_COC,Provider_15,2023-05-10,2023-12-31,1,1,No Exit Interview completed,Data Not Collected,0
C00154,OTHER_COC,Provider_07,2022-01-30,2022-07-14,1,1,No Exit Interview completed,No Income,0
C00155,OTHER_COC,Provider_13,2023-04-26,2023-12-31,1,1,Staying with friends (temporary),Data Not Collected,0
C00156,CEA,Provider_03,2022-03-20,2022-07-26,1,1,Emergency shelter (voucher),Data Not Collected,0
C00157,CEA,Provider_12,2023-04-20,2023-08-06,1,1,"Rental by client, with ongoing housing subsidy","$1,001–$1,500",0
C00158,OTHER_COC,Provider_17,2022-09-25,2022-12-17,1,1,Staying with friends (temporary),"$2,001+",1
C00159,OTHER_COC,Provider_14,2023-04-18,2023-12-31,1,1,"Rental by client, no ongoing housing subsidy",Data Not Collected,0
C00160,HHCM,Provider_03,2022-08-08,2022-12-01,1,1,Other,"$2,001+",0
C00161,OTHER_COC,Provider_13,2023-03-11,2023-09-09,1,1,Staying with family (temporary),No Income,0
C00162,HHCM,Provider_01,2023-03-26,2023-11-21,1,1,Staying with family (temporary),"$1,001–$1,500",1
C00163,SHI,Provider_08,2022-11-08,2023-12-31,1,1,Staying with family (temporary),Data Not Collected,0
C00164,OTHER_COC,Provider_03,2023-07-22,2023-10-17,1,1,Emergency shelter (voucher),"$2,001+",0
C00165,HHCM,Provider_08,2022-04-24,2022-08-27,1,1,Staying with family (temporary),Data Not Collected,1
C00166,OTHER_COC,Provider_06,2022-01-31,2022-08-10,1,1,Staying with friends (temporary),"$2,001+",0
C00167,CEA,Provider_01,2023-10-04,2023-12-08,1,1,Staying with family (temporary),No Income,1
C00168,OTHER_COC,Provider_02,2023-05-18,2023-12-31,0,1,"Rental by client, with ongoing housing subsidy",Data Not Collected,0
C00169,CEA,Provider_01,2022-03-23,2023-03-23,1,1,Staying with friends (temporary),Data Not Collected,0
C00170,OTHER_COC,Provider_06,2022-05-21,2022-09-21,1,1,"Rental by client, no ongoing housing subsidy",$251–$500,0
C00171,OTHER_COC,Provider_13,2022-09-17,2023-01-19,1,1,"Rental by client, with ongoing housing subsidy",No Income,1
C00172,OTHER_COC,Provider_10,2022-12-13,2023-02-23,1,1,Emergency shelter (voucher),"$2,001+",0
C00173,SHI,Provider_12,2022-10-11,2023-03-04,1,1,Emergency shelter (voucher),Data Not Collected,0
C00174,OTHER_COC,Provider_12,2023-11-11,2023-12-31,0,1,Staying with family (temporary),Data Not Collected,0
C00175,CEA,Provider_04,2023-03-02,2023-08-23,1,1,Staying with family (temporary),"$2,001+",1
C00176,OTHER_COC,Provider_07,2022-07-09,2023-01-20,1,1,"Rental by client, with ongoing housing subsidy",No Income,0
C00177,SHI,Provider_07,2023-08-07,2023-12-31,0,1,Jail/prison/juvenile detention,Data Not Collected,0
C00178,OTHER_COC,Provider_01,2022-01-19,2022-06-11,1,1,Staying with family (temporary),"$2,001+",0
C00179,OTHER_COC,Provider_08,2023-01-29,2023-12-31,1,1,Other,Data Not Collected,0
C00180,OTHER_COC,Provider_10,2023-06-22,2023-12-09,1,1,Staying with family (temporary),No Income,1
C00181,OTHER_COC,Provider_08,2023-03-05,2023-06-17,1,1,"Rental by client, no ongoing housing subsidy",Data Not Collected,1
C00182,SHI,Provider_10,2023-12-19,2023-12-31,0,1,Staying with family (temporary),Data Not Collected,0
C00183,OTHER_COC,Provider_01,2022-06-19,2022-10-25,1,1,Staying with family (temporary),"$2,001+",0
C00184,HHCM,Provider_12,2023-05-19,2023-09-12,1,1,Other,No Income,0
C00185,SHI,Provider_02,2022-02-07,2023-12-31,1,1,"Rental by client, with ongoing housing subsidy",Data Not Collected,0
C00186,OTHER_COC,Provider_13,2023-09-09,2023-12-31,1,1,Other,Data Not Collected,0
C00187,OTHER_COC,Provider_03,2023-03-16,2023-05-06,1,1,Other,"$2,001+",0
C00188,OTHER_COC,Provider_07,2023-04-12,2023-11-24,1,1,Staying with friends (temporary),No Income,0
C00189,OTHER_COC,Provider_07,2022-12-12,2023-06-03,1,1,"Rental by client, no ongoing housing subsidy",Data Not Collected,1
C00190,CEA,Provider_03,2023-06-16,2023-09-26,1,1,"Rental by client, with ongoing housing subsidy","$1,501–$2,000",0
C00191,SHI,Provider_03,2023-05-14,2023-12-31,1,1,No Exit Interview completed,Data Not Collected,0
C00192,OTHER_COC,Provider_02,2023-10-19,2023-12-31,0,1,"Rental by client, no ongoing housing subsidy",Data Not Collected,0
C00193,CEA,Provider_08,2022-09-23,2023-03-20,1,1,"Rental by client, no ongoing housing subsidy","$1,501–$2,000",0
C00194,OTHER_COC,Provider_14,2023-01-08,2023-05-15,1,1,Other,"$1,501–$2,000",1
C00195,SHI,Provider_03,2022-05-28,2023-01-21,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",1
C00196,OTHER_COC,Provider_07,2023-10-16,2023-12-31,0,1,Other,Data Not Collected,0
C00197,OTHER_COC,Provider_13,2022-04-24,2022-07-12,1,1,Emergency shelter (voucher),No Income,0
C00198,SHI,Provider_06,2023-08-06,2023-12-31,1,1,No Exit Interview completed,Data Not Collected,0
C00199,OTHER_COC,Provider_13,2022-11-26,2023-05-20,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",1
C00200,OTHER_COC,Provider_06,2023-12-18,2023-12-31,1,1,"Rental by client, with ongoing housing subsidy",Data Not Collected,1
C00201,CEA,Provider_06,2023-04-08,2023-08-14,1,1,"Rental by client, no ongoing housing subsidy",Data Not Collected,1
C00202,CEA,Provider_02,2023-10-16,2023-12-31,1,1,"Rental by client, no ongoing housing subsidy",Data Not Collected,0
C00203,HHCM,Provider_02,2022-11-25,2023-04-17,1,1,Emergency shelter (voucher),"$2,001+",1
C00204,HHCM,Provider_08,2022-01-03,2022-08-31,1,1,"Rental by client, no ongoing housing subsidy","$1,001–$1,500",0
C00205,CEA,Provider_13,2023-01-08,2023-03-01,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",0
C00206,HHCM,Provider_02,2023-09-22,2023-12-31,0,0,No Exit Interview completed,Data Not Collected,0
C00207,HHCM,Provider_14,2022-05-09,2023-01-04,1,1,Staying with friends (temporary),Data Not Collected,1
C00208,OTHER_COC,Provider_03,2023-10-05,2023-12-31,1,1,"Rental by client, no ongoing housing subsidy",Data Not Collected,0
C00209,SHI,Provider_06,2022-10-08,2023-07-08,1,1,"Rental by client, with ongoing housing subsidy","$1,001–$1,500",1
C00210,OTHER_COC,Provider_13,2023-11-22,2023-12-31,1,1,Staying with family (temporary),Data Not Collected,0
C00211,SHI,Provider_13,2023-04-09,2023-12-31,0,1,Deceased,Data Not Collected,0
C00212,CEA,Provider_07,2023-11-27,2023-12-31,0,1,No Exit Interview completed,Data Not Collected,0
C00213,CEA,Provider_03,2022-03-04,2022-08-10,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",0
C00214,CEA,Provider_02,2022-05-27,2023-01-15,1,1,Staying with friends (temporary),No Income,0
C00215,OTHER_COC,Provider_03,2023-07-16,2023-10-20,1,1,Staying with friends (temporary),No Income,1
C00216,OTHER_COC,Provider_12,2022-09-17,2022-11-27,1,0,No Exit Interview completed,No Income,0
C00217,CEA,Provider_03,2022-02-18,2022-07-10,1,1,Emergency shelter (voucher),"$2,001+",0
C00218,OTHER_COC,Provider_08,2023-07-01,2023-12-22,1,1,Staying with friends (temporary),"$2,001+",0
C00219,OTHER_COC,Provider_02,2023-08-10,2023-10-09,1,0,No Exit Interview completed,No Income,0
C00220,SHI,Provider_07,2023-10-03,2023-12-31,1,1,Deceased,Data Not Collected,0
C00221,OTHER_COC,Provider_03,2023-01-15,2023-11-02,1,1,Emergency shelter (voucher),Data Not Collected,0
C00222,HHCM,Provider_07,2023-01-02,2023-05-01,1,1,Emergency shelter (voucher),"$2,001+",1
C00223,OTHER_COC,Provider_08,2023-01-15,2023-07-27,1,1,Staying with friends (temporary),"$1,501–$2,000",1
C00224,HHCM,Provider_16,2022-11-03,2023-03-01,1,1,"Rental by client, no ongoing housing subsidy","$1,001–$1,500",1
C00225,OTHER_COC,Provider_13,2023-04-27,2023-06-28,1,1,Staying with family (temporary),"$2,001+",0
C00226,OTHER_COC,Provider_08,2022-01-10,2022-06-03,1,1,Staying with friends (temporary),"$2,001+",0
C00227,SHI,Provider_02,2023-11-07,2023-12-31,0,1,Emergency shelter (voucher),Data Not Collected,0
C00228,OTHER_COC,Provider_14,2022-04-22,2022-08-30,1,1,Staying with family (temporary),"$2,001+",0
C00229,SHI,Provider_13,2023-06-30,2023-12-31,1,1,Staying with friends (temporary),Data Not Collected,0
C00230,SHI,Provider_13,2023-10-12,2023-12-31,1,1,Staying with friends (temporary),Data Not Collected,0
C00231,OTHER_COC,Provider_07,2023-05-24,2023-12-31,1,1,"Rental by client, with ongoing housing subsidy",Data Not Collected,0
C00232,CEA,Provider_02,2023-04-12,2023-05-03,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",0
C00233,OTHER_COC,Provider_11,2023-03-07,2023-08-21,1,1,Emergency shelter (voucher),"$2,001+",1
C00234,OTHER_COC,Provider_06,2022-05-01,2022-09-15,1,1,Emergency shelter (voucher),"$2,001+",0
C00235,OTHER_COC,Provider_03,2023-10-01,2023-11-22,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",0
C00236,OTHER_COC,Provider_06,2023-12-31,2023-12-31,1,1,No Exit Interview completed,Data Not Collected,0
C00237,HHCM,Provider_08,2022-12-18,2023-07-19,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",0
C00238,OTHER_COC,Provider_03,2022-05-27,2022-09-07,1,1,Emergency shelter (voucher),"$1,001–$1,500",1
C00239,CEA,Provider_08,2023-08-28,2023-10-27,1,1,Staying with family (temporary),"$2,001+",1
C00240,OTHER_COC,Provider_08,2023-06-19,2023-12-04,1,1,Emergency shelter (voucher),Data Not Collected,1
C00241,SHI,Provider_07,2022-02-17,2023-05-26,1,1,"Rental by client, with ongoing housing subsidy","$2,001+",1
C00242,OTHER_COC,Provider_01,2022-10-13,2023-04-09,1,1,"Rental by client, with ongoing housing subsidy","$1,501–$2,000",0
C00243,CEA,Provider_15,2022-03-21,2022-09-01,1,1,Emergency shelter (voucher),"$2,001+",1
C00244,OTHER_COC,Provider_06,2022-09-08,2022-11-19,1,1,"Rental by client, no ongoing housing subsidy","$2,001+",0
